fecha,duracion,avg_ccv,max_ccv,seguidores,titulo
2023-07-27 13:00:00,1.1 hrs,322.0,494.0,127.0,último_programa_|_pov_+_ojo_del_santo_|_#kingsleague
2023-07-25 18:39:00,1.4 hrs,3839.0,6433.0,1447.0,matchday_|_1k_f.c._vs_aniquiladores_|_#kingsleaguecuartos
2023-07-24 13:31:00,1.1 hrs,342.0,451.0,69.0,extratime_+_ojo_del_santo_|_1k_f.c._|_#kingsleagueoctavos
2023-07-22 15:33:00,1.9 hrs,1339.0,3773.0,594.0,matchday_|_1k_f.c._vs_ultimate_mostoles_|_#kingsleagueoctavos_|
2023-07-20 13:01:00,1.1 hrs,237.0,318.0,69.0,pov_+_ojo_del_santo_|_#kingsleaguej11_|
2023-07-18 13:03:00,1.0 hrs,473.0,623.0,124.0,extratime:_sección_deportes_|_#kingsleaguej11_|
2023-07-16 16:47:00,1.3 hrs,2919.0,3894.0,994.0,pov:_con_todo_|_#kingsleaguej10_|
2023-07-13 13:01:00,1.2 hrs,772.0,2359.0,168.0,pov:_con_todo_|_#kingsleaguej10_|
2023-07-09 17:41:00,1.6 hrs,1606.0,2153.0,727.0,matchday_|_1k_f.c._vs_porcinos_#kingsleaguej10_|
2023-07-07 13:00:00,1.4 hrs,270.0,313.0,84.0,el_ojo_del_santo_+_pov:_callando_bocas_|_#kingsleaguej9_|
2023-07-05 16:51:00,1.1 hrs,1390.0,1608.0,323.0,matchday_|_1k_f.c._vs_xbuyer_team_|_#kingsleaguej9
2023-07-04 13:00:00,0.9 hrs,190.0,224.0,31.0,|_pov:_cuando_nos_cambian_el_día_de_partido_|_#kingsleaguej8
2023-06-29 13:03:00,1.7 hrs,389.0,592.0,184.0,|_pov_+_el_ojo_del_santo_|_#kingsleaguej8
2023-06-27 15:00:00,1.1 hrs,361.0,565.0,79.0,extratime_|_sección_deportes_|_#kingsleaguej8
2023-06-25 16:48:00,1.3 hrs,3635.0,4499.0,1062.0,matchday_|_1k_f.c._vs_rayo_de_barclona_|_#kingsleaguej8
2023-06-22 15:03:00,1.0 hrs,422.0,608.0,117.0,pov:_cuando_la_suerte_no_está_de_nuestro_lado_||_#kingsleaguej7
2023-06-21 15:02:00,1.0 hrs,337.0,445.0,78.0,el_ojo_del_santo_|_con_nacho_hernaez_||_#kingsleaguej7
2023-06-19 15:08:00,0.9 hrs,503.0,696.0,78.0,el_ojo_del_santo_|_con_nacho_hernáez_||_#kingsleaguej6
2023-06-18 19:55:00,1.3 hrs,3324.0,4839.0,1019.0,el_ojo_del_santo_|_con_nacho_hernáez_||_#kingsleaguej6
2023-06-14 15:12:00,1.1 hrs,315.0,403.0,64.0,el_ojo_del_santo_|_con_nacho_hernáez_||_#kingsleaguej6
2023-06-12 15:01:00,1.9 hrs,354.0,463.0,214.0,extratime_|_sección_deportes_|_#kingsleaguej6
2023-06-11 15:43:00,1.5 hrs,5914.0,8589.0,1468.0,matchday_|_1k_fc_vs_los_troncos_fc_|_#kingsleaguej6
2023-06-08 15:07:00,1.8 hrs,481.0,636.0,189.0,pov:_cuando_te_toca_ser_huésped_|_#kingsleaguej6
2023-06-07 15:03:00,1.0 hrs,273.0,356.0,47.0,el_ojo_del_santo_|_con_nacho_hernaez_|_#kingsleaguej5
2023-06-04 16:41:00,1.4 hrs,2178.0,3137.0,885.0,matchday_|_1k_f.c._vs_saiyans_f.c._|_#kingsleaguej5
2023-06-01 15:05:00,1.8 hrs,673.0,903.0,358.0,pov:_cuando_nuestro_equipo_es_un_enfermería_#kingsleaguej5
2023-05-31 15:06:00,1.0 hrs,383.0,455.0,85.0,el_ojo_del_santo_-_con_nacho_hernaez_|_#kingsleaguej4
2023-05-29 14:59:00,1.9 hrs,554.0,775.0,299.0,extratime_-_sección_deportes_#kingsleaguej4
2023-05-28 18:34:00,1.5 hrs,5279.0,7711.0,2387.0,día_de_partido:_1k_vs_el_barrio_#kingsleaguej4
2023-05-25 15:07:00,1.8 hrs,1452.0,1768.0,333.0,pov:_cuando_1k_rompe_la_maldición_del_primer_split.
2023-05-22 15:05:00,2.0 hrs,655.0,863.0,306.0,"extratime:_amarilla_a_alsina,_primera_derrota_y_gol_doble_#kingsleaguej3"
2023-05-21 19:42:00,1.4 hrs,5726.0,8859.0,1972.0,1k_fútbol_club_vs_pio_fútbol_club_#kingsleaguej3
2023-05-18 15:03:00,1.0 hrs,400.0,507.0,48.0,pov:_la_3_de_3?
2023-05-16 15:14:00,0.8 hrs,475.0,653.0,112.0,extratime
2023-05-14 20:36:00,1.3 hrs,1873.0,3186.0,932.0,1k_vs_aniquiladores
2023-05-11 15:06:00,2.0 hrs,1152.0,1680.0,629.0,pov:_cuando_cambias_a_tu_jugador_12
2023-05-08 15:08:00,2.1 hrs,614.0,852.0,417.0,extratime
2023-05-07 16:40:00,1.6 hrs,3748.0,6054.0,2524.0,live_with_restream
2023-05-06 21:41:00,2.4 hrs,504.0,669.0,388.0,final_copa_del_rey_con_bici_the_caster_1k_#vamos1k
2023-05-04 18:11:00,1.1 hrs,263.0,327.0,9.0,hablamos_cousitas
2023-04-26 15:15:00,1.3 hrs,307.0,409.0,10.0,hablamos_sobre_el_mercato
2023-04-18 15:09:00,1.6 hrs,626.0,822.0,278.0,hablamos_sobre_el_mercato
2023-04-13 14:57:00,1.9 hrs,536.0,701.0,71.0,hablamos_sobre_el_mercato
2023-03-23 14:59:00,1.1 hrs,766.0,1525.0,276.0,programa_final
2023-03-19 15:43:00,1.4 hrs,5598.0,8606.0,1695.0,"más_que_reyes_/_la_previa_con_irene_junquera,_iñaki_aguirregabiria_y_jordi_codina_#kingsleaguej11"
2023-03-16 15:03:00,2.0 hrs,802.0,1068.0,376.0,"más_que_reyes_/_la_previa_con_irene_junquera,_iñaki_aguirregabiria_y_jordi_codina_#kingsleaguej11"
2023-03-13 15:12:00,1.9 hrs,550.0,620.0,242.0,la_prórroga_|_el_postpartido_con_iñaki_aguirregabiria_y_jordi_codina_#kingsleaguej10
2023-03-12 17:39:00,1.6 hrs,4223.0,6702.0,2408.0,el_día_de_los_reyes_|_1k_fútbol_club_vs_kunisports_#kingsleaguej10
