fecha,duracion,avg_ccv,max_ccv,seguidores,titulo
2023-08-04 20:54:00,4.3 hrs,1953.0,3748.0,328.0,el_ultimo_dia_antes_de_vacaciones!!!
2023-08-02 18:57:00,3.0 hrs,3377.0,4375.0,689.0,el_fichaje_de_roble_-_kings_league_troncos_fc!!!
2023-07-31 19:32:00,6.7 hrs,4476.0,17784.0,1362.0,descartes_fichaje_troncos_y_luego_volkacio_especial!!!
2023-07-30 16:38:00,2.4 hrs,2972.0,4772.0,550.0,descartes_futuro_troncos_y_troncas_-_final_kings_league_charlemos!
2023-07-29 17:28:00,6.8 hrs,4656.0,21343.0,2157.0,final_kings_y_queens_league_vamos_troncas_fc!!!
2023-07-28 17:58:00,3.4 hrs,1002.0,1517.0,127.0,rueda_prensa_kings_|_queens_league!
2023-07-27 16:01:00,3.0 hrs,987.0,1110.0,126.0,mañana_nos_vamos_a_la_final_#efectivinowonder_#pagavisa
2023-07-26 19:36:00,4.1 hrs,1444.0,2123.0,178.0,estamos_en_la_final_queens_league_-_la_despedida_gta_v_roleplay!!!_#mansiónencantada
2023-07-25 21:11:00,1.2 hrs,10626.0,14049.0,433.0,las_troncas_fc_vs_el_barrio_fc_-_queens_league_cuartos_de_final!!!
2023-07-23 20:00:00,3.2 hrs,1067.0,1257.0,73.0,la_ciudad_esta_loca_-_gta_v_roleplay!!!
2023-07-22 20:56:00,1.1 hrs,4370.0,7033.0,182.0,las_troncas_vs_jijantas_fc_-_queens_legue_octavos
2023-07-21 19:29:00,5.1 hrs,934.0,1758.0,221.0,evento_nocturno_con_v_-_gta_v_roleplay!
2023-07-19 20:56:00,3.5 hrs,1198.0,1648.0,180.0,el_dia_despues_del_reencuentro_con_v_-_gta_v_roleplay!
2023-07-17 19:26:00,2.5 hrs,1704.0,2269.0,181.0,el_reencuentro_con_v_-_gta_v_roleplay!
2023-07-16 19:37:00,1.4 hrs,10380.0,16381.0,700.0,los_troncos_fc_vs_aniquiladores_fc_-_kings_league_j11!!!
2023-07-15 20:41:00,3.9 hrs,1155.0,1576.0,46.0,2_dias_para_el_17_|_gta_v_roleplay!!!
2023-07-13 20:14:00,2.5 hrs,2049.0,3065.0,475.0,speedrun_only_up_me_lo_paso_rapido!
2023-07-12 19:43:00,6.5 hrs,1527.0,2899.0,626.0,hablamos_de_la_bowling_cup_-_roleito_con_horacio!!!
2023-07-11 16:42:00,4.2 hrs,11222.0,13434.0,1366.0,bowling_cup_2023_-_torneo_de_bolos!
2023-07-10 19:41:00,4.7 hrs,1753.0,3614.0,517.0,hablamos_kings_league_bolos_y_roleito_volkacio!!!
2023-07-09 18:35:00,3.8 hrs,4234.0,11210.0,798.0,los_troncos_fc_vs_xbuyer_team_-_kings_league_j10!!!_|_es_mi_cumpleaños
2023-07-08 19:33:00,1.4 hrs,3542.0,4924.0,198.0,las_troncas_fc_vs_kunitas_fc_-_queens_league_j10!!!
2023-07-07 20:09:00,3.8 hrs,1758.0,2542.0,601.0,sueldos_kings_league_-_cocinamos_la_tarta_de_mi_cumple_y_roleito_evento!!!
2023-07-05 18:33:00,1.7 hrs,14000.0,17117.0,881.0,los_troncos_fc_vs_kunisports_fc_kings_league_j9!!!
2023-07-04 19:52:00,1.0 hrs,4681.0,5054.0,223.0,las_troncas_fc_vs_jijantas_fc_queens_league_j9!!!
2023-07-03 23:44:00,2.8 hrs,1361.0,1635.0,208.0,noche_de_roleito_en_gta_v!!!
2023-07-02 19:51:00,2.9 hrs,2243.0,3035.0,983.0,mi_experencia_y_los_combates_de_la_velada_de_ibai!
2023-06-28 22:18:00,2.3 hrs,1044.0,1263.0,108.0,pelo_para_la_velada_y_horacio_anciano_en_gta_v_roleplay!
2023-06-27 20:00:00,2.7 hrs,1796.0,2533.0,273.0,outfit_velada_y_noche_de_roleito_gta_v_roleplay!
2023-06-26 21:00:00,1.1 hrs,2679.0,4145.0,96.0,las_troncas_fc_vs_rayo_de_barcelona_-_queens_league_j8!!!
2023-06-25 22:38:00,2.4 hrs,1629.0,1855.0,53.0,evento_pride_infames_gta_v_roleplay!!!
2023-06-25 15:28:00,1.6 hrs,21427.0,41455.0,1863.0,los_troncos_fc_vs_saiyans_fc_j8_kings_league!!!
2023-06-22 16:29:00,4.8 hrs,1391.0,2477.0,172.0,torneo_copa_salvaje_the_grefg_con_noel!!!_#vwdrivingexperience
2023-06-21 19:47:00,3.0 hrs,1498.0,1942.0,145.0,una_charla_con_volkov_|_gta_v_roleplay
2023-06-20 19:22:00,4.0 hrs,1584.0,1842.0,103.0,cita_o_problemas?_|_gta_v_roleplay_#unieuniversidad
2023-06-19 19:51:00,4.2 hrs,1591.0,2009.0,289.0,un_regalo_de_papa_y_mama_|_gta_v_roleplay!_#risketos
2023-06-18 15:41:00,1.4 hrs,8336.0,11640.0,411.0,los_troncos_fc_vs_el_barrio_fc_-_kings_league_j7!!!
2023-06-17 18:34:00,2.0 hrs,1684.0,2897.0,109.0,las_troncas_fc_vs_porcinas_fc_queens_league!!!
2023-06-14 16:09:00,4.6 hrs,2259.0,3132.0,486.0,drops_-_un_bandolero_en_bellum!!!
2023-06-12 16:05:00,4.2 hrs,1984.0,2656.0,405.0,mi_primer_dia_en_bellum!!!
2023-06-11 15:28:00,1.9 hrs,9009.0,16007.0,627.0,los_troncos_vs_1k_kings_league!!!
2023-06-08 19:01:00,4.2 hrs,1251.0,1412.0,94.0,una_visita_inesperada_de_los_polacos_gta_v_roleplay!!!
2023-06-07 18:07:00,1.4 hrs,1020.0,1406.0,65.0,directo_especial_con_mayichi!!!_#snackingames
2023-06-06 20:02:00,3.5 hrs,1423.0,1710.0,110.0,horacio_y_volkov_hay_boda?_en_gta_v_roleplay!!!
2023-06-05 23:31:00,3.5 hrs,1516.0,1653.0,146.0,noche_de_roleito_en_gta_v_roleplay!!!
2023-06-04 18:39:00,1.4 hrs,6750.0,10097.0,404.0,los_troncos_fc_vs_ultimate_móstoles_fc_—_kings_league_j5!!!
2023-06-03 18:42:00,1.4 hrs,5042.0,7606.0,190.0,las_troncas_fc_vs_aniquiladoras_fc_-_queens_league_j5!!!
2023-06-02 22:16:00,2.5 hrs,1326.0,1682.0,65.0,una_charla_importante_-_roleplay_gta!!!
2023-05-30 16:04:00,6.5 hrs,1699.0,2179.0,454.0,directo_especial_con_gemma_gonsa_y_ander_#vwgaming_#roadtodrivingexperiencevw_#publi_y_luego_la_boda!!!
2023-05-29 23:38:00,3.3 hrs,1414.0,1665.0,189.0,se_cancela_la_boda?
2023-05-28 16:43:00,1.2 hrs,10264.0,12388.0,562.0,los_troncos_fc_vs_jijantes_fc_—_kings_league_j4!!!
2023-05-27 17:42:00,1.2 hrs,7608.0,8945.0,364.0,las_troncas_fc_vs_1k_fc_—_queens_league_j4!!!
2023-05-26 22:41:00,3.4 hrs,1483.0,2388.0,150.0,horacio_hay_boda?
2023-05-24 19:57:00,4.3 hrs,1520.0,1888.0,108.0,hoy_si_el_vestido_de_boda!!!
2023-05-23 16:18:00,3.3 hrs,2034.0,2633.0,309.0,evento_especial_con_gemita_ander_y_gonsa!!!_#vwgaming_#roadtodrivingexperiencevw_#publi
2023-05-23 00:10:00,3.4 hrs,1778.0,1923.0,134.0,el_vestido_de_boda_gta_v_roleplay!!!
2023-05-21 20:42:00,1.4 hrs,6989.0,10426.0,507.0,los_troncos_fc_vs_porcinos_fc_-_kings_league_j3!!!
2023-05-20 20:34:00,3.3 hrs,3004.0,6126.0,427.0,las_troncas_fc_vs_pio_fc_-_queens_league_j3!!!_luego_roleito!!!
2023-05-18 20:00:00,3.2 hrs,1226.0,1458.0,142.0,noche_de_bochilocura_en_gta_v_roleplay!!!
2023-05-17 18:51:00,4.0 hrs,1052.0,1251.0,126.0,horacio_y_tu_ruso_de_confianza_gta_v_roleplay!!!_#ouigoontour
2023-05-16 18:36:00,4.1 hrs,1350.0,2018.0,150.0,un_ataque_a_la_sede_gta_v_roleplay!!!
2023-05-14 17:47:00,1.3 hrs,16637.0,21499.0,1342.0,los_troncos_fc_vs_pio_fc_-_kings_league_j2_debut_de_cisse!!!
2023-05-13 15:31:00,1.4 hrs,5921.0,8748.0,409.0,las_troncas_vs_el_barrio_-_queens_league_j2
2023-05-12 17:57:00,3.1 hrs,1333.0,1892.0,231.0,tarde_con_el_ruso_en_gta_v_roleplay!!!
2023-05-10 23:18:00,3.3 hrs,1277.0,1471.0,165.0,noche_con_horacio_en_gta_v_roleplay!!!
2023-05-09 19:03:00,3.4 hrs,1289.0,1709.0,237.0,un_duro_enfrentamiento_|_horacio_y_volkov_en_gta_v_roleplay!!!
2023-05-08 15:34:00,3.3 hrs,5105.0,10109.0,762.0,after_kings_|_polemica_jornada_1_kings_league!!!
2023-05-07 15:06:00,2.0 hrs,7077.0,12385.0,1007.0,los_troncos_fc_vs_rayo_de_bcn_kings_league_j1!!!
2023-05-06 15:30:00,1.6 hrs,6622.0,9176.0,737.0,las_troncas_vs_saiyans_queens_league_j1!!!
2023-05-05 20:34:00,2.8 hrs,1250.0,1605.0,98.0,nueva_equipacion_de_los_troncos_fc!!!_kings_gala!!!
2023-05-04 17:29:00,1.9 hrs,1767.0,2256.0,181.0,directo_especial_con_mayichi_cristinini_e_imantado!!!_!snackingames
2023-05-03 16:58:00,3.8 hrs,4853.0,9446.0,1042.0,face_reveal_jugador_13_troncos_fc_y_roleito!!!_#guardianesdelagalaxia3
2023-05-02 18:27:00,2.8 hrs,1934.0,2421.0,233.0,primer_video_jugador_13_troncos_fc_y_charla_con_jugadores_kings_league!!!
2023-04-30 18:49:00,4.6 hrs,2773.0,3712.0,330.0,el_cumpleaños_de_horacio_en_gta_v_roleplay!!!
2023-04-28 19:06:00,3.1 hrs,1387.0,1747.0,116.0,la_visita_en_gta_v_roleplay!!!
2023-04-26 19:30:00,3.1 hrs,1256.0,1568.0,39.0,4_dias_para_el_cumple_de_horacio_gta_v_roleplay!!!
2023-04-25 19:20:00,4.3 hrs,1394.0,1770.0,86.0,5_dias_para_el_cumple_de_horacio_gta_v_roleplay!!!
2023-04-24 18:58:00,5.3 hrs,1377.0,2009.0,196.0,se_acerca_el_cumple_de_horacio_y_fin_del_mercato_kings_league!!!
2023-04-20 19:20:00,3.4 hrs,1477.0,1744.0,129.0,me_corte_el_dedo_hoy_nos_ponemos_al_dia_con_h_en_gta_v_roleplay!!!
2023-04-18 19:39:00,3.9 hrs,1537.0,1839.0,114.0,horacio_al_aparato_quieres_pasar_un_buen_rato?_gta_v_roleplay!!!
2023-04-17 18:59:00,5.1 hrs,1895.0,4527.0,331.0,roleito_y_luego_3_fichajes_de_troncos_fc!!!
2023-04-16 18:10:00,2.8 hrs,1181.0,1412.0,139.0,tamos_trabajando_en_el_draft_de_la_queens_mañana_nos_vemos_:)
2023-04-14 19:03:00,3.5 hrs,2033.0,2230.0,352.0,horacio_y_volkov_con_los_nuevos_agentes_gta_v_roleplay!!!
2023-04-12 20:12:00,3.2 hrs,3231.0,4767.0,596.0,nuevo_fichaje_troncos_y_el_hoyo_evento_minecraft!!!
2023-04-11 19:52:00,4.0 hrs,2114.0,2769.0,450.0,patrulla_con_los_nuevos_fbi_en_gta_v_roleplay!!!_#snackingames
2023-04-10 17:32:00,4.2 hrs,2050.0,2625.0,346.0,dia_de_clausulazos_|_fichajes_y_salidas_kings_league_y_luego_gta_v_roleplay!!!
2023-04-09 16:15:00,4.3 hrs,5131.0,9271.0,2455.0,se_rompe_el_mercado_|_fichaje_troncos_fc_kings_league!!!!
2023-04-07 18:35:00,4.3 hrs,2091.0,2817.0,488.0,la_prueba_final_de_los_agentes_fib_en_gta_v_roleplay!!!!
2023-04-06 18:49:00,3.8 hrs,1746.0,2325.0,345.0,pruebas_inteligencia_en_gta_v_roleplay!!!!
2023-04-04 17:27:00,3.8 hrs,3095.0,4603.0,1395.0,explicacion_mercado_kings_league_y_pruebas_agentes_fib_en_gta_v_roleplay!!!
2023-04-03 20:50:00,3.4 hrs,3322.0,12941.0,1476.0,mercato_troncos_fc_kings_league!
2023-04-02 19:30:00,3.7 hrs,1728.0,2208.0,365.0,academia_fbi_horacio_y_volkov_gta_v_roleplay!!!
2023-03-30 19:43:00,4.2 hrs,4514.0,8911.0,2036.0,mercado_y_horacio_en_busca_de_nuevos_agentes_gta_v_roleplay!!!
2023-03-28 17:37:00,4.1 hrs,4286.0,7020.0,1622.0,el_futuro_de_troncos_fc_con_edgar_noel_carles_-_mercado!!!
2023-03-27 17:57:00,3.3 hrs,2451.0,3978.0,827.0,kings_league_y_roleplay_con_ricardo!!!
2023-03-26 16:00:00,2.9 hrs,16732.0,37821.0,6150.0,los_troncos_🪵_vs_aniquiladores_💪🏻!!!_final_kings_league_🏆
2023-03-25 19:47:00,1.9 hrs,1943.0,2064.0,458.0,rueda_de_prensa_final_four_kings_league!
2023-03-24 18:03:00,1.7 hrs,23106.0,34171.0,2834.0,cuartos_de_final_los_troncos_fc_vs_xbuyer_team_fc_—_kings_league
2023-03-22 18:05:00,4.7 hrs,2134.0,2572.0,546.0,volkacio_polaco_hoy_si_gta_v_roleplay!!!_#risketosxhot
2023-03-21 19:10:00,2.9 hrs,1832.0,2145.0,349.0,horacio_y_volkov_vs_volkacio_polaco_en_gta_v_roleplay!!!
2023-03-20 18:04:00,3.0 hrs,2789.0,3771.0,448.0,jerardo_el_picas_en_evento_proyecto_176_gta_v!!!
2023-03-19 14:39:00,1.3 hrs,7997.0,12726.0,790.0,los_troncos_fc_vs_jijantes_fc_-_kings_league
2023-03-17 15:24:00,5.2 hrs,3847.0,6516.0,1471.0,gerardo_picas_en_la_carrera_proyecto_176_luego_pre_chup_chup_kings_league!!!
