fecha,duracion,avg_ccv,max_ccv,seguidores,titulo
2023-08-05 17:56:00,1.6 hrs,6529.0,9837.0,859.0,vemos_a_krü_en_el_mundial_de_rocket_!!_krü_vs_teampwr_|_rocket_league_world_championship_|_round_3
2023-08-04 19:29:00,1.8 hrs,11501.0,19859.0,1520.0,vemos_a_krü_en_el_mundial_de_rocket_!!_krü_vs_falcons_|_rocket_league_world_championship_|_round_2
2023-08-03 19:34:00,2.7 hrs,10747.0,21268.0,2942.0,krü_esports_vs._g1_|_rocket_league_world_championship
2023-07-31 20:58:00,2.6 hrs,3418.0,6867.0,2053.0,watch_party_krüesports_vs_leviatan_final_del_lcq_de_valorant
2023-07-23 21:47:00,4.3 hrs,9771.0,18722.0,2374.0,watch_party_krüesports_vs_leviatan_final_del_lcq_de_valorant
2023-07-22 16:58:00,1.6 hrs,11707.0,17304.0,1527.0,torneo_fifa_gamers8
2023-07-19 17:00:00,2.1 hrs,2185.0,3614.0,480.0,torneo_fifa_gamers8
2023-07-16 20:35:00,1.3 hrs,1510.0,1824.0,223.0,torneo_fifa_gamers8
2023-07-16 18:54:00,1.3 hrs,12541.0,18564.0,1429.0,kunisports_vs_el_barrio_||_kings_league_j11
2023-07-15 16:54:00,1.2 hrs,4932.0,7621.0,281.0,kunitas_vs_saiyans_|_jornada_11_queens_league
2023-07-09 19:54:00,1.0 hrs,7571.0,12989.0,628.0,kunisports_vs_saiyans_|_jornada_10_kings_league
2023-07-08 19:53:00,1.0 hrs,7186.0,8795.0,302.0,kunisports_vs_los_troncos_|_jornada_9_de_la_kings_league
2023-07-05 18:58:00,1.3 hrs,10357.0,15291.0,688.0,kunisports_vs_los_troncos_|_jornada_9_de_la_kings_league
2023-07-04 18:59:00,0.9 hrs,3851.0,4944.0,-2.0,kunitas_vs_aniquiladoras_|_jornada_9_de_la_queens_league
2023-06-26 19:02:00,1.9 hrs,6645.0,9937.0,597.0,kunitas_vs_ultimate_mostoles_|_queens_league_jornada_8
