fecha,duracion,avg_ccv,max_ccv,seguidores,titulo
2023-08-05 18:34:00,4.2 hrs,15357.0,19666.0,2115.0,😍_𝐍𝐎𝐒𝐓𝐀𝐋𝐆𝐈-𝐂𝐎𝐃𝐬_😍_zombies_de_black_ops_1_¿easter_egg?_tú_eliges_🙏🏻
2023-08-04 18:29:00,3.6 hrs,12869.0,14548.0,838.0,✨_𝐍𝐎𝐒𝐓𝐀𝐋𝐆𝐈-𝐂𝐎𝐃𝐬_✨_black_ops_1_😱_zombies_y_multi_de_uno_de_los_mejores_cods_de_la_historia_🔥
2023-08-03 20:16:00,5.1 hrs,13964.0,17758.0,2379.0,✨_𝐍𝐎𝐒𝐓𝐀𝐋𝐆𝐈-𝐂𝐎𝐃𝐬_✨_me_saco_la_nuclear_🔥_black_ops_1_si_lo_consigo_😱
2023-08-02 17:45:00,5.7 hrs,20809.0,28540.0,4678.0,✨_𝐍𝐎𝐒𝐓𝐀𝐋𝐆𝐈𝐀_✨_volvemos_a_los_cods_antiguos_😍_1vs1_con_illojuan_🔥_unboxing_xbox_series_x_y_al_vicio_🎮
2023-08-01 21:14:00,1.7 hrs,14849.0,20591.0,473.0,𝐄𝐒𝐓𝐑𝐄𝐍𝐎_❤🔥_he_convertido_mi_tesla_en_rayo_mcqueen_🔥❤_mañana_probamos_los_cods_antiguos_🤤
2023-07-31 18:02:00,5.2 hrs,11244.0,16783.0,2198.0,🏁_mundial_f1_de_ampeter_(soy_muy_bueno)_🔥_after_kings_finals_⚽👑
2023-07-30 16:47:00,5.6 hrs,18145.0,38095.0,2067.0,😱_reaccionando_a_los_mejores_momentos_de_la_final_four_⚽🏆_anunciando_los_descartes_de_saiyans_🚨
2023-07-28 19:35:00,1.8 hrs,4342.0,6716.0,395.0,𝘾𝙃𝘼𝙏_𝙎𝘼𝙄𝙔𝘼𝙉𝙎_🔥_especial_chup_chup_final_four_kings_&_queens_league_🔥
2023-07-27 20:50:00,4.1 hrs,12228.0,21319.0,1966.0,estreno_mi_mejor_vídeo_de_tesla_🚀_recuperando_mi_nivel_en_fortnite_🎮_lol_para_dar_suerte_a_heretics_🤍
2023-07-26 19:54:00,5.5 hrs,10218.0,21147.0,1708.0,"💙🔥_𝐄𝐋_𝐅𝐔𝐓𝐔𝐑𝐎_𝐃𝐄_𝐒𝐀𝐈𝐘𝐀𝐍𝐒_🔥💙_reacción_partido_de_ayer,_descartes,_mvp,_jugador_11_y_12..."
2023-07-25 15:32:00,6.4 hrs,17636.0,52031.0,2452.0,"🔥_playoffs_¡el_ganador_al_metropolitano!_🔥_saiyans_vs_xbuyer_|_si_ganamos,_me_tiño_de_rubio_¡amén,_amén,_amén!_🙏🏻"
