ID del VOD,URL del VOD,Nombre del VOD,Duración,Fecha de inicio,Fecha de finalización,Visitas
1892379692,https://www.twitch.tv/videos/1892379692,"jijantes_fc_|actualidad_barça._carpeta_neymar._carrascazos._tertulia_con_quera,_loren_y_blaya._presentamos_jugadores_kings_y_queens",2h1m9s,2023-08-07 09:55:15,2023-08-07 09:55:15,259
1891928464,https://www.twitch.tv/videos/1891928464,"jijantes_fc_|_mercato_fcb._dembelé,_kessie,_ansu_fati,_lenglet..._neymar_?!",3h14m40s,2023-08-06 20:01:16,2023-08-06 20:01:16,236128
1890683225,https://www.twitch.tv/videos/1890683225,"jijantes_fc_|_actualidad_barça._mercato_del_fcb,_mercato_kings_league_infojobs._el_pádel_y_la_fiesta_jijante",2h24m54s,2023-08-05 09:56:15,2023-08-05 09:56:15,108138
1889799073,https://www.twitch.tv/videos/1889799073,jijantes_fc_|_actualidad_barça._las_salidas_listas._objetivos_claros:_lateral_y_bernardo_silva._tertulia_con_jaume_marcet_y_albert_rogé,3h48m10s,2023-08-04 09:56:10,2023-08-04 09:56:10,184809
1888926577,https://www.twitch.tv/videos/1888926577,jijantes_fc_|_actualidad_barça._cumbre_deportiva._cancelo._dembelé._carrascazos._tertulia_pintanel_y_cotorro,3h53m38s,2023-08-03 09:55:59,2023-08-03 09:55:59,198580
1888281470,https://www.twitch.tv/videos/1888281470,jijantes_fc_|_actualidad_barça._accesos_a_montjuic._la_llegada_del_equipo_a_bcn._la_palanca_se_complica.,3h47m48s,2023-08-02 16:57:11,2023-08-02 16:57:11,179135
1887869484,https://www.twitch.tv/videos/1887869484,jijantes_fc_|_reaccionamos_al_barça_-_milan_de_la_gira_de_usa_con_el_reportero_infojobs.,3h55m12s,2023-08-02 02:26:07,2023-08-02 02:26:07,108371
1887206364,https://www.twitch.tv/videos/1887206364,jijantes_fc_|_actualidad_barça._charlamos_con_albert_capellas._fermín_lópez._la_media_inglesa.,2h54m30s,2023-08-01 09:56:34,2023-08-01 09:56:34,156153
1886567822,https://www.twitch.tv/videos/1886567822,jijantes_fc_|_barça_-_psg_-_ousmane_dembelé._negociación_abierta_durante_5_días,7h6m30s,2023-07-31 16:56:03,2023-07-31 16:56:03,392565
1886356593,https://www.twitch.tv/videos/1886356593,jijantes_fc_|_la_salida_de_ousmane_dembelé._tertulia_loren_y_cortés._las_plantillas_de_la_kings_y_queens!,2h49m54s,2023-07-31 10:00:25,2023-07-31 10:00:25,235105
1885936257,https://www.twitch.tv/videos/1885936257,jijantes_fc_|_dembelé_más_fuera_que_dentro_del_barça._la_decisión.,3h6m54s,2023-07-30 20:59:34,2023-07-30 20:59:34,250538
1885056344,https://www.twitch.tv/videos/1885056344,la_previa_de_la_f4_de_la_kings_league_infojobs_y_la_queens_league,3h55m14s,2023-07-29 20:41:08,2023-07-29 20:41:08,191005
1884691763,https://www.twitch.tv/videos/1884691763,la_previa_de_la_f4_de_la_kings_league_infojobs_y_la_queens_league_infojobs,2h4m7s,2023-07-29 11:27:58,2023-07-29 11:27:58,335881
1882948853,https://www.twitch.tv/videos/1882948853,jijantes_fc_|_el_barça_cae_ante_el_arsenal._los_debuts_de_los_nuevos_y_los_jóvenes_con_albert_quera._mercato_fcb._la_palanca?,1h43m16s,2023-07-27 10:56:18,2023-07-27 10:56:18,82684
1882708590,https://www.twitch.tv/videos/1882708590,estreno_del_fcb_23-24_con_el_barça_-_arsenal,4h0m46s,2023-07-27 02:00:06,2023-07-27 02:00:06,130242
1882372307,https://www.twitch.tv/videos/1882372307,after_kings_league_infojobs,2h55m30s,2023-07-26 19:00:42,2023-07-26 19:00:42,91208
1882050098,https://www.twitch.tv/videos/1882050098,jijantes_fc_|_la_gira_barça_usa_con_infojobs._mercato_fcb._carrascazos._tertulia_pintanel_y_cotorro._kings_league_infojobs_f4,3h21m41s,2023-07-26 09:53:20,2023-07-26 09:53:20,121265
1881334458,https://www.twitch.tv/videos/1881334458,los_1/4_de_la_kings_league_infojobs._barrio_-_jijantes_fc_en_el_cupra_arena,1h38m42s,2023-07-25 15:30:00,2023-07-25 15:30:00,247044
1880544138,https://www.twitch.tv/videos/1880544138,jijantes_fc_|_actualidad_barça._la_gira_usa_del_barça_con_infojobs._habla_alejandro_balde,1h42m20s,2023-07-24 17:26:56,2023-07-24 17:26:56,92216
1880304467,https://www.twitch.tv/videos/1880304467,jijantes_fc_|_actualidad_barça._mercato_+_gira_usa_fcb_infojobs_+_charlamos_con_franc_artiga,3h35m32s,2023-07-24 09:53:08,2023-07-24 09:53:08,152327
1878895686,https://www.twitch.tv/videos/1878895686,los_1/8_de_la_queens_league._jijantas_fc_-_las_troncas_en_el_cupra_arena!,1h57m30s,2023-07-22 18:29:40,2023-07-22 18:29:40,149719
1878726033,https://www.twitch.tv/videos/1878726033,los_1/8_de_la_kings_league_infojobs.__jijantes_fc_-_kuni_sports_en_el_cupra_arena!,2h32m53s,2023-07-22 14:23:11,2023-07-22 14:23:11,226778
1877890888,https://www.twitch.tv/videos/1877890888,jijantes_fc_|_actualidad_barça._presentación_oriol_romeu_en_los_angeles_+_previa_kings_i_queens_league_de_los_1/8,1h50m44s,2023-07-21 16:31:27,2023-07-21 16:31:27,82423
1876801942,https://www.twitch.tv/videos/1876801942,jijantes_fc_|_actualidad_barça._monfort_en_madrid_con_joao_félix._tertulia_rogé_y_marcet_de_la_base._olot-girona._mundial_femenino.,2h40m58s,2023-07-20 09:56:41,2023-07-20 09:56:41,108930
1876122937,https://www.twitch.tv/videos/1876122937,jijantes_fc_|__qué_pasa_con_joao_félix_?_estamos_en_madrid_con_carlos_monfort,3h38m0s,2023-07-19 16:27:12,2023-07-19 16:27:12,162029
1875877147,https://www.twitch.tv/videos/1875877147,jijantes_fc_|_oriol_romeu_nuevo_jugador_del_fcb._joao_se_declara_al_barça._carrascazos._agora_futbol.,4h24m58s,2023-07-19 07:55:48,2023-07-19 07:55:48,162847
1875030713,https://www.twitch.tv/videos/1875030713,jijantes_fc_|_día_oriol_romeu._mercato._operación_salida._el_equipo_doble_sesión._tertulia_cotorro_y_loren._la_media_inglesa,2h49m40s,2023-07-18 09:54:32,2023-07-18 09:54:32,104275
