ID del VOD,URL del VOD,Nombre del VOD,Duración,Fecha de inicio,Fecha de finalización,Visitas
1891971510,https://www.twitch.tv/videos/1891971510,stream_nocturno_como_en_los_viejos_tiempos_hablando_de_la_vida._no_me_he_ido_de_vacaciones._me_voy_el_14._solo_me_he_ido_el_finde.,4h33m50s,2023-08-06 20:56:42,2023-08-06 20:56:42,832214
1889973400,https://www.twitch.tv/videos/1889973400,anuncio_el_nuevo_fichaje_de_porcinos_fc_y_me_voy_a_las_islas_mauricio.,2h4m28s,2023-08-04 15:47:48,2023-08-04 15:47:48,644479
1889092994,https://www.twitch.tv/videos/1889092994,finetwork_koi_vs_movistar_riders_-_semifinales_de_superliga_-_quiero_creer,4h0m59s,2023-08-03 15:36:08,2023-08-03 15:36:08,1263313
1888398387,https://www.twitch.tv/videos/1888398387,si_te_ries_pierdes.,4h11m56s,2023-08-02 19:20:21,2023-08-02 19:20:21,929135
1887375965,https://www.twitch.tv/videos/1887375965,ronda_2_-_superliga_-_verano_2023_-_league_of_legends_-_finetwork_koi_vs._giants_[bo5],4h53m24s,2023-08-01 15:43:28,2023-08-01 15:43:28,1112979
1886491678,https://www.twitch.tv/videos/1886491678,kylian_mbappé_me_tiene_bailando_pero_vendrá_al_real_madrid_|_descartes_y_nuevos_fichajes_kings_league,4h10m8s,2023-07-31 14:54:38,2023-07-31 14:54:38,1048646
1885656732,https://www.twitch.tv/videos/1885656732,after_kings_especial_finales_|_ayer_fue_una_pesadilla_|_te_caes_y_te_levantas_|_preguntas_y_respuestas_y_reflexión_de_2023,5h25m58s,2023-07-30 14:57:12,2023-07-30 14:57:12,1570668
1884961552,https://www.twitch.tv/videos/1884961552,finales_de_la_kings_&_queens_league_-_ronda_semifinal:_porcinas_vs._pio,51m6s,2023-07-29 18:43:11,2023-07-29 18:43:11,462760
1884940317,https://www.twitch.tv/videos/1884940317,finales_de_la_kings_&_queens_league_-_ronda_semifinal:_porcinas_vs._pio,23m3s,2023-07-29 18:15:41,2023-07-29 18:15:41,265890
1884840468,https://www.twitch.tv/videos/1884840468,finales_de_la_kings_&_queens_league_-_ronda_semifinal:_porcinos_vs._xbuyer,1h28m55s,2023-07-29 15:59:49,2023-07-29 15:59:49,888534
1883964241,https://www.twitch.tv/videos/1883964241,rueda_de_prensa_desde_el_cívitas_metropolitano_|_previa_especial_finales_kings/queens_league_🐷👑,3h28m27s,2023-07-28 15:58:48,2023-07-28 15:58:48,887637
1882233638,https://www.twitch.tv/videos/1882233638,ha_venido_eladio_carrión_a_mi_casa.,1h27m14s,2023-07-26 16:00:16,2023-07-26 16:00:16,528538
1881353054,https://www.twitch.tv/videos/1881353054,finetwork_koi_vs._los_heretics_-_ronda_1_-_superliga_-_verano_2023_-_league_of_legends,3h51m27s,2023-07-25 15:58:50,2023-07-25 15:58:50,1110337
1880441868,https://www.twitch.tv/videos/1880441868,especial_kylian_mbappé:_todo_sobre_kylian_mbappé.,3h30m58s,2023-07-24 14:53:14,2023-07-24 14:53:14,901535
1878736928,https://www.twitch.tv/videos/1878736928,lcq_2023_-_koi_vs._navi_-_el_que_gane_al_mundial_-_koi_vs_heretics_en_lec_-_si_ganamos_nos_vamos_las_finales,5h13m59s,2023-07-22 14:42:05,2023-07-22 14:42:05,1648595
1877825919,https://www.twitch.tv/videos/1877825919,lcq_2023_-_koi_vs._giants_-_el_ganador_será_el_primer_equipo_español_en_la_historia_en_llegar_a_los_mundiales_de_valorant,2h22m7s,2023-07-21 14:48:26,2023-07-21 14:48:26,721799
