ID del VOD,URL del VOD,Nombre del VOD,Duración,Fecha de inicio,Fecha de finalización,Visitas
1891232780,https://www.twitch.tv/videos/1891232780,"humillando_a_ari,_rivers_y_el_mariana_/_central_gamer_soriana_-_día_1_👾",2h56m54s,2023-08-06 00:00:14,2023-08-06 00:00:14,326716
1890082352,https://www.twitch.tv/videos/1890082352,tengo_a_los_míos_hablando_italiano_de_lunes_a_viernes_sólo_comen_pasta,4h4m4s,2023-08-04 18:18:04,2023-08-04 18:18:04,335459
1889304904,https://www.twitch.tv/videos/1889304904,"caos_caos_caos_/_trailer_""el_dios_de_todo""_/_es4_corp_🟢",6h55m42s,2023-08-03 20:07:06,2023-08-03 20:07:06,596488
1888331436,https://www.twitch.tv/videos/1888331436,"pláticamos_+_trailer_""el_dios_de_todo""_+_jueguitos_👁️",3h27m35s,2023-08-02 18:00:25,2023-08-02 18:00:25,341156
1884786123,https://www.twitch.tv/videos/1884786123,final_four_/_semifinal_aniquiladores_fc_🆚_el_barrio_(9:15_am_mx)_💪,1h43m44s,2023-07-29 14:28:33,2023-07-29 14:28:33,525443
1883964242,https://www.twitch.tv/videos/1883964242,cuartos_de_final_💪_aniquiladores_fc_🆚_1k_fc,3h28m24s,2023-07-28 15:58:48,2023-07-28 15:58:48,292728
1881394950,https://www.twitch.tv/videos/1881394950,cuartos_de_final_💪_aniquiladores_fc_🆚_1k_fc,58m24s,2023-07-25 16:59:10,2023-07-25 16:59:10,283884
1876485781,https://www.twitch.tv/videos/1876485781,"mañana_me_voy_a_españa,_directo_nocturno_:dddd",3h20m54s,2023-07-20 00:07:21,2023-07-20 00:07:21,251317
1875340472,https://www.twitch.tv/videos/1875340472,only_up_(nuevo_récord)_/_conseguí_un_trabajo_en_dedsafio_🤠,5h40m6s,2023-07-18 18:48:01,2023-07-18 18:48:01,344656
1873582133,https://www.twitch.tv/videos/1873582133,aniquiladores_fc_🆚_los_troncos_fc_/_final_jornada_regular_💪,1h23m38s,2023-07-16 17:35:39,2023-07-16 17:35:39,241146
1872754236,https://www.twitch.tv/videos/1872754236,aniquiladoras_fc_🆚_xbuyer_team_/_evento_dedsafio_/_dave_the_diver,4h24m32s,2023-07-15 18:32:59,2023-07-15 18:32:59,310010
1871844905,https://www.twitch.tv/videos/1871844905,el_tartaja_me_entrevista_/_evento_dedsafio_/_es4_corp_👊,8h32m29s,2023-07-14 18:00:28,2023-07-14 18:00:28,549800
1870191660,https://www.twitch.tv/videos/1870191660,dedsafio_ark_+_el_directo_no_termina_hasta_pasarme_el_only_up_🦖,6h14m26s,2023-07-12 19:29:09,2023-07-12 19:29:09,543590
1869270382,https://www.twitch.tv/videos/1869270382,"just_chattingo,_only_up_y_dave_the_diver_:dddddd",5h36m32s,2023-07-11 18:22:30,2023-07-11 18:22:30,505206
1868396429,https://www.twitch.tv/videos/1868396429,"volví,_velada,_just_chatting,_after_y_mucho_texto_🤓",5h56m14s,2023-07-10 18:00:29,2023-07-10 18:00:29,541776
1867611243,https://www.twitch.tv/videos/1867611243,aniquiladores_fc_🆚_pio_fc_/_watch_party_desde_mty_🤠,1h9m34s,2023-07-09 18:47:11,2023-07-09 18:47:11,511462
1864087588,https://www.twitch.tv/videos/1864087588,aniquiladores_fc_🆚_porcinos_fc_/_el_clásico_💪,1h37m14s,2023-07-05 17:32:42,2023-07-05 17:32:42,436155
1862312774,https://www.twitch.tv/videos/1862312774,irl_en_barcelona_😎,11s,2023-07-03 15:51:24,2023-07-03 15:51:24,35223
1862308556,https://www.twitch.tv/videos/1862308556,irl_en_barcelona_😎,5m57s,2023-07-03 15:44:30,2023-07-03 15:44:30,32860
1862305322,https://www.twitch.tv/videos/1862305322,irl_en_barcelona_😎,4m53s,2023-07-03 15:39:01,2023-07-03 15:39:01,22119
1862288197,https://www.twitch.tv/videos/1862288197,irl_en_barcelona_😎,21m24s,2023-07-03 15:09:49,2023-07-03 15:09:49,86220
1862277979,https://www.twitch.tv/videos/1862277979,irl_en_barcelona_😎,14m16s,2023-07-03 14:53:50,2023-07-03 14:53:50,44789
1862267542,https://www.twitch.tv/videos/1862267542,irl_en_barcelona_😎,17m54s,2023-07-03 14:34:34,2023-07-03 14:34:34,56151
1862253582,https://www.twitch.tv/videos/1862253582,irl_en_barcelona_😎,24m45s,2023-07-03 14:08:37,2023-07-03 14:08:37,75219
1862247730,https://www.twitch.tv/videos/1862247730,irl_en_barcelona_😎,6m42s,2023-07-03 13:59:16,2023-07-03 13:59:16,40128
1855530843,https://www.twitch.tv/videos/1855530843,aniquiladores_fc_🆚_jijantes_fc_/_8va_jornada_💪,1h45m34s,2023-06-25 16:24:19,2023-06-25 16:24:19,307720
1854952495,https://www.twitch.tv/videos/1854952495,"ola,_final_rocket_league_league_y_only_(up)",4h9m16s,2023-06-24 22:39:06,2023-06-24 22:39:06,302989
1854059767,https://www.twitch.tv/videos/1854059767,only_up_(4to_intento)_y_rocket_league_league_💪🏎️,6h23m36s,2023-06-23 22:25:53,2023-06-23 22:25:53,431111
1852857369,https://www.twitch.tv/videos/1852857369,"12_horas???_torneo_de_grefg,_after/chup_kings,_draft_rocket_league_league_y_amor_o_dinero_🤑",11h55m5s,2023-06-22 15:04:34,2023-06-22 15:04:34,964755
1852235296,https://www.twitch.tv/videos/1852235296,"titanic,_only_up_(2do_intento),_es4_corp_y_más_👊",7h44m28s,2023-06-21 20:28:22,2023-06-21 20:28:22,574706
1850447397,https://www.twitch.tv/videos/1850447397,"preguntas_y_respuestas,_only_up_y_ya_veremos_☝️🤓",5h47m2s,2023-06-19 18:48:05,2023-06-19 18:48:05,423026
1849561145,https://www.twitch.tv/videos/1849561145,aniquiladores_fc_🆚_xbuyer_team_/_partido_por_el_liderato_💪,1h35m50s,2023-06-18 16:32:35,2023-06-18 16:32:35,235584
1847257638,https://www.twitch.tv/videos/1847257638,reaccionamos_y_empieza_es4_corp_⛏️,5h37m58s,2023-06-15 22:09:04,2023-06-15 22:09:04,315112
1845289598,https://www.twitch.tv/videos/1845289598,día_muy_(demasiado)_violento_en_bellum_💀,6h21m30s,2023-06-13 16:11:26,2023-06-13 16:11:26,333824
1844498855,https://www.twitch.tv/videos/1844498855,"bellum,_after_kings_y_más_bellum_🤓",8h6m44s,2023-06-12 17:03:24,2023-06-12 17:03:24,477605
1843665452,https://www.twitch.tv/videos/1843665452,aniquiladores_fc_🆚_saiyans_fc_y_bellum_💪,6h35m58s,2023-06-11 16:34:02,2023-06-11 16:34:02,568642
1641771854,https://www.twitch.tv/videos/1641771854,tortilla_y_unboxing_de_regalosss_🤓,4h51m32s,2022-11-02 22:07:18,2022-11-02 22:07:18,668443
