ID del VOD,URL del VOD,Nombre del VOD,Duración,Fecha de inicio,Fecha de finalización,Visitas
1886666744,https://www.twitch.tv/videos/1886666744,"👑_after_kings_&_queens_finales_⚽_post_finales,_descartes_y_repescas._#afterkingsfinals",2h18m48s,2023-07-31 19:02:25,2023-07-31 19:02:25,1235837
1884753332,https://www.twitch.tv/videos/1884753332,👑_kings_&_queens_finals_-_la_final_four_desde_el_civitas_metropolitano_⚽_#kingsqueensfinals,8h58m55s,2023-07-29 13:30:14,2023-07-29 13:30:14,11948732
1884026837,https://www.twitch.tv/videos/1884026837,👑_rueda_de_prensa_kings_&_queens_finals_-_civitas_metropolitano,1h55m52s,2023-07-28 17:29:52,2023-07-28 17:29:52,688506
1882372847,https://www.twitch.tv/videos/1882372847,👑_after_kings_&_queens_⚽_post_de_los_cuartos_de_final_#afterchupcuartos,2h35m42s,2023-07-26 19:01:12,2023-07-26 19:01:12,1050749
1881280246,https://www.twitch.tv/videos/1881280246,👑_cuartos_de_final_-_playoff_|_kings_league_infojobs_&_queens_league_oysho_⚽_#kingsleaguecuartos,7h24m47s,2023-07-25 14:00:23,2023-07-25 14:00:23,4299528
1880620034,https://www.twitch.tv/videos/1880620034,👑_after-chup_kings_&_queens_⚽_previa_de_los_cuartos_de_final_#afterchupcuartos,2h48m30s,2023-07-24 19:00:51,2023-07-24 19:00:51,1002862
1878678326,https://www.twitch.tv/videos/1878678326,👑_octavos_de_final_-_playoff_|_kings_league_infojobs_&_queens_league_oysho_⚽_#kingsleagueoctavos,7h11m38s,2023-07-22 13:00:20,2023-07-22 13:00:20,3361195
1878032558,https://www.twitch.tv/videos/1878032558,👑_chupchupkings_octavos_⚽_empieza_el_playoff_#chupchupoctavos,2h47m4s,2023-07-21 19:05:57,2023-07-21 19:05:57,948069
1874486383,https://www.twitch.tv/videos/1874486383,"👑_afterkings_11_⚽_milagros,_desgracias_y_épica💥#afterkings11",2h44m48s,2023-07-17 19:00:38,2023-07-17 19:00:38,1086914
1873415419,https://www.twitch.tv/videos/1873415419,👑_kings_league_infojobs_-_jornada_11_⚽_#kingsleaguej11,6h34m16s,2023-07-16 13:30:15,2023-07-16 13:30:15,3225942
1872554198,https://www.twitch.tv/videos/1872554198,👑_queens_league_oysho_-_jornada_11_⚽_#queensleaguej11,6h36m15s,2023-07-15 13:30:11,2023-07-15 13:30:11,1502487
