ID del VOD,URL del VOD,Nombre del VOD,Duración,Fecha de inicio,Fecha de finalización,Visitas
1891254465,https://www.twitch.tv/videos/1891254465,central_gamer_soriana_-_día_1,2h33m33s,2023-08-06 00:29:42,2023-08-06 00:29:42,802114
1889568223,https://www.twitch.tv/videos/1889568223,ola_apareci_en_cdmx_jsjajajsa,1h1m55s,2023-08-04 01:41:42,2023-08-04 01:41:42,299499
1889559424,https://www.twitch.tv/videos/1889559424,ola_apareci_en_cdmx_jsjajajsa,8m27s,2023-08-04 01:30:27,2023-08-04 01:30:27,95354
1888638567,https://www.twitch.tv/videos/1888638567,comprando_productos_de_shark_tank,3h38m7s,2023-08-03 00:29:54,2023-08-03 00:29:54,747075
1887636603,https://www.twitch.tv/videos/1887636603,probando_dulces_de_japon,3h14m41s,2023-08-01 21:31:53,2023-08-01 21:31:53,1043149
1886922465,https://www.twitch.tv/videos/1886922465,pio_campeon_queens_league_-_ya_en_casa,3h20m0s,2023-08-01 00:30:54,2023-08-01 00:30:54,822532
1885082354,https://www.twitch.tv/videos/1885082354,final_queens_league_pio_vs_troncas,1h23m6s,2023-07-29 21:14:41,2023-07-29 21:14:41,1018538
1884930148,https://www.twitch.tv/videos/1884930148,final_four_-_semifinal_queens_league_pio_vs_porcinas,3h7m53s,2023-07-29 18:03:25,2023-07-29 18:03:25,1643234
1883406440,https://www.twitch.tv/videos/1883406440,"directo_desde_madrid,_tengo_chorro",1m52s,2023-07-27 22:33:35,2023-07-27 22:33:35,132711
1883400536,https://www.twitch.tv/videos/1883400536,"directo_desde_madrid,_tengo_chorro",6m4s,2023-07-27 22:25:40,2023-07-27 22:25:40,99813
1883383259,https://www.twitch.tv/videos/1883383259,directo_desde_madrid,22m20s,2023-07-27 22:02:23,2023-07-27 22:02:23,275526
1881553583,https://www.twitch.tv/videos/1881553583,"cuartos_de_final,_pio_vs_rayo_de_bcn",1h12m28s,2023-07-25 20:11:40,2023-07-25 20:11:40,538950
1880609688,https://www.twitch.tv/videos/1880609688,repartiendo_playeras_de_pio_en_barcelona,2h59m57s,2023-07-24 18:49:31,2023-07-24 18:49:31,770410
1878783503,https://www.twitch.tv/videos/1878783503,eliminatorias_kings_y_queens_league_pio_vs_sayians,2h20m47s,2023-07-22 15:57:37,2023-07-22 15:57:37,744617
1876516778,https://www.twitch.tv/videos/1876516778,mañana_nos_vamos_a_españaaa,2h59m20s,2023-07-20 00:45:16,2023-07-20 00:45:16,710288
1875610006,https://www.twitch.tv/videos/1875610006,ya_llegueeeeeeeeeeeeeeeeee,5h0m24s,2023-07-19 00:20:16,2023-07-19 00:20:16,1189876
1874858125,https://www.twitch.tv/videos/1874858125,noche_de_terror,26m34s,2023-07-18 02:56:20,2023-07-18 02:56:20,219895
1874706024,https://www.twitch.tv/videos/1874706024,noche_de_terror,3h9m11s,2023-07-17 23:46:27,2023-07-17 23:46:27,1072016
1873640864,https://www.twitch.tv/videos/1873640864,pio_vs_sayians_-_kings_league,1h12m37s,2023-07-16 18:47:02,2023-07-16 18:47:02,426745
1872673879,https://www.twitch.tv/videos/1872673879,pio_vs_jijantas,1h13m30s,2023-07-15 16:46:14,2023-07-15 16:46:14,367286
1872158732,https://www.twitch.tv/videos/1872158732,hoy_es_viernes_inviten_a_algun_lado,4h1m21s,2023-07-15 00:45:02,2023-07-15 00:45:02,802226
1871319841,https://www.twitch.tv/videos/1871319841,hola_buenas_noches,2h32m34s,2023-07-14 01:08:22,2023-07-14 01:08:22,708504
1870444239,https://www.twitch.tv/videos/1870444239,irl_comprando_babosadas,1h56m10s,2023-07-13 00:50:20,2023-07-13 00:50:20,921957
1869594494,https://www.twitch.tv/videos/1869594494,streamer_puntual_prende_stream_puntual,3h13m42s,2023-07-12 01:09:35,2023-07-12 01:09:35,803235
1868674163,https://www.twitch.tv/videos/1868674163,hola_ya_llegue,3h43m14s,2023-07-10 23:56:56,2023-07-10 23:56:56,987840
1867611157,https://www.twitch.tv/videos/1867611157,pio_vs_aniquiladores,1h10m26s,2023-07-09 18:47:03,2023-07-09 18:47:03,832287
1866732502,https://www.twitch.tv/videos/1866732502,sabado_futbolero_pio_vs_mostoles_-_queens_league,1h28m23s,2023-07-08 18:36:38,2023-07-08 18:36:38,556237
1865850879,https://www.twitch.tv/videos/1865850879,asi_entrenaba_para_la_velada_del_año,2h31m32s,2023-07-07 18:40:03,2023-07-07 18:40:03,1155349
1865313020,https://www.twitch.tv/videos/1865313020,probando_comida_de_españa,2h23m7s,2023-07-07 01:24:20,2023-07-07 01:24:20,972751
1864148381,https://www.twitch.tv/videos/1864148381,partido_de_pio_+_viaje_de_la_velada,4h49m23s,2023-07-05 18:48:52,2023-07-05 18:48:52,1705681
1863578961,https://www.twitch.tv/videos/1863578961,de_regreso_en_casa,4h21m26s,2023-07-05 00:32:51,2023-07-05 00:32:51,2784180
1859268131,https://www.twitch.tv/videos/1859268131,ultimo_stream_antes_de_la_pelea,2h17m37s,2023-06-29 23:50:20,2023-06-29 23:50:20,1255798
1856333399,https://www.twitch.tv/videos/1856333399,pio_vs_xbuyer_queens_league_hoy_meto_penal,1h9m54s,2023-06-26 15:57:52,2023-06-26 15:57:52,299661
1855643165,https://www.twitch.tv/videos/1855643165,pio_vs_el_barrio_hoy_fallo_penal,1h25m26s,2023-06-25 18:48:02,2023-06-25 18:48:02,432944
1855446542,https://www.twitch.tv/videos/1855446542,en_carretera_intentando_llegar_a_tirar_el_penal,28m1s,2023-06-25 14:09:43,2023-06-25 14:09:43,125183
1854057321,https://www.twitch.tv/videos/1854057321,stream_desde_la_boxing_house_barcelona,1h57m15s,2023-06-23 22:22:20,2023-06-23 22:22:20,329794
1851415390,https://www.twitch.tv/videos/1851415390,"platiquita_desde_madrid,_me_dió_chorro",1h18m41s,2023-06-20 21:26:44,2023-06-20 21:26:44,225758
1850020483,https://www.twitch.tv/videos/1850020483,mañana_nos_vamos_a_españa,1h56m32s,2023-06-19 03:49:59,2023-06-19 03:49:59,236161
1849529828,https://www.twitch.tv/videos/1849529828,pio_vs_porcinos_kings_league,1h14m40s,2023-06-18 15:47:31,2023-06-18 15:47:31,272143
1848809116,https://www.twitch.tv/videos/1848809116,pio_fc_vs_el_barrio_-_queens_league,2h29m13s,2023-06-17 18:41:17,2023-06-17 18:41:17,336583
1848270239,https://www.twitch.tv/videos/1848270239,penultimo_dia_bellum,2h30m47s,2023-06-17 02:00:23,2023-06-17 02:00:23,156683
1847307686,https://www.twitch.tv/videos/1847307686,𝗗𝗥𝗢𝗣𝗦_𝗘𝗫𝗖𝗟𝗨𝗦𝗜𝗩𝗢𝗦_|_día_5_bellum,4h45m3s,2023-06-15 23:17:20,2023-06-15 23:17:20,429233
1846399361,https://www.twitch.tv/videos/1846399361,𝗗𝗥𝗢𝗣𝗦_𝗘𝗫𝗖𝗟𝗨𝗦𝗜𝗩𝗢𝗦_|_día_4_bellum,6h32m20s,2023-06-14 21:45:10,2023-06-14 21:45:10,622418
1845482345,https://www.twitch.tv/videos/1845482345,𝗗𝗥𝗢𝗣𝗦_𝗘𝗫𝗖𝗟𝗨𝗦𝗜𝗩𝗢𝗦_|_dia_3_bellum,2h41m25s,2023-06-13 20:24:20,2023-06-13 20:24:20,290342
1844756269,https://www.twitch.tv/videos/1844756269,bellum_dia_2,5h17m31s,2023-06-12 22:47:08,2023-06-12 22:47:08,439196
1843777620,https://www.twitch.tv/videos/1843777620,pio_fc_vs_rayo_de_bcn_kings_league_y_luego_bellum,6h41m0s,2023-06-11 18:51:39,2023-06-11 18:51:39,723893
1842896472,https://www.twitch.tv/videos/1842896472,pio_fc_vs_kunitas_-_queens_league,1h21m17s,2023-06-10 18:38:50,2023-06-10 18:38:50,211836
1842291222,https://www.twitch.tv/videos/1842291222,remodelando_un_poco_el_setup_con_produccion,4h27m8s,2023-06-10 00:50:21,2023-06-10 00:50:21,436528
1841381101,https://www.twitch.tv/videos/1841381101,directo_con_ronny,4h55m5s,2023-06-09 00:00:08,2023-06-09 00:00:08,615134
1840636817,https://www.twitch.tv/videos/1840636817,me_pinte_el_cabello_(directo_corto),1h46m30s,2023-06-08 02:21:57,2023-06-08 02:21:57,252496
