ID del VOD,URL del VOD,Nombre del VOD,Duración,Fecha de inicio,Fecha de finalización,Visitas
1890870221,https://www.twitch.tv/videos/1890870221,vemos_a_krü_en_el_mundial_de_rocket_!!_krü_vs_teampwr_|_rocket_league_world_championship_|_round_3,1h38m20s,2023-08-05 15:56:39,2023-08-05 15:56:39,91759
1890044583,https://www.twitch.tv/videos/1890044583,vemos_a_krü_en_el_mundial_de_rocket_!!_krü_vs_falcons_|_rocket_league_world_championship_|_round_2,1h49m10s,2023-08-04 17:29:42,2023-08-04 17:29:42,169550
1889178302,https://www.twitch.tv/videos/1889178302,anuncio_de_jugadores_|_kings_y_queens_league,2h45m6s,2023-08-03 17:34:27,2023-08-03 17:34:27,269648
1886662132,https://www.twitch.tv/videos/1886662132,watch_party_krüesports_vs_leviatan_final_del_lcq_de_valorant,2h40m14s,2023-07-31 18:58:10,2023-07-31 18:58:10,126700
1879835931,https://www.twitch.tv/videos/1879835931,watch_party_krüesports_vs_leviatan_final_del_lcq_de_valorant,4h13m28s,2023-07-23 19:47:35,2023-07-23 19:47:35,248242
1878746439,https://www.twitch.tv/videos/1878746439,torneo_fifa_gamers8,1h40m50s,2023-07-22 14:58:31,2023-07-22 14:58:31,131935
1876068332,https://www.twitch.tv/videos/1876068332,torneo_fifa_gamers8,2h3m32s,2023-07-19 15:01:48,2023-07-19 15:01:48,62667
1873631353,https://www.twitch.tv/videos/1873631353,torneo_fifa_gamers8,1h21m18s,2023-07-16 18:35:18,2023-07-16 18:35:18,47309
1873550641,https://www.twitch.tv/videos/1873550641,kunisports_vs_el_barrio_||_kings_league_j11,1h21m4s,2023-07-16 16:54:57,2023-07-16 16:54:57,134887
1872602446,https://www.twitch.tv/videos/1872602446,kunitas_vs_saiyans_|_jornada_11_queens_league,1h14m48s,2023-07-15 14:54:32,2023-07-15 14:54:32,73739
1867566537,https://www.twitch.tv/videos/1867566537,kunisports_vs_saiyans_|_jornada_10_kings_league,58m14s,2023-07-09 17:54:48,2023-07-09 17:54:48,106525
1866698090,https://www.twitch.tv/videos/1866698090,kunisports_vs_los_troncos_|_jornada_9_de_la_kings_league,1h1m21s,2023-07-08 17:54:02,2023-07-08 17:54:02,67261
1864061780,https://www.twitch.tv/videos/1864061780,kunisports_vs_los_troncos_|_jornada_9_de_la_kings_league,1h15m18s,2023-07-05 16:58:44,2023-07-05 16:58:44,128528
1863231346,https://www.twitch.tv/videos/1863231346,kunitas_vs_aniquiladoras_|_jornada_9_de_la_queens_league,56m56s,2023-07-04 16:59:22,2023-07-04 16:59:22,55080
1856381926,https://www.twitch.tv/videos/1856381926,kunitas_vs_ultimate_mostoles|_queens_league_jornada_8,1h51m42s,2023-06-26 17:02:42,2023-06-26 17:02:42,146846
1855511060,https://www.twitch.tv/videos/1855511060,kunisports_vs_porcinos_|_kings_league_jornada_8,57m18s,2023-06-25 15:55:45,2023-06-25 15:55:45,107341
1849616455,https://www.twitch.tv/videos/1849616455,kunisports_vs_1k_||_kings_league_jornada_7,1h39m20s,2023-06-18 17:49:56,2023-06-18 17:49:56,158364
1848658062,https://www.twitch.tv/videos/1848658062,kunitas_vs_1k_||_queens_league_jornada_7,55m36s,2023-06-17 15:07:10,2023-06-17 15:07:10,69785
1843733137,https://www.twitch.tv/videos/1843733137,kunisports_vs_ultimate_mostoles_||_kings_league_jornada_6,1h9m48s,2023-06-11 17:58:20,2023-06-11 17:58:20,134589
1842866441,https://www.twitch.tv/videos/1842866441,manchester_city_vs_inter_||_final_champions_league_con_star+,3h20m13s,2023-06-10 18:00:20,2023-06-10 18:00:20,473008
