ID del VOD,URL del VOD,Nombre del VOD,Duración,Fecha de inicio,Fecha de finalización,Visitas
1887433629,https://www.twitch.tv/videos/1887433629,kings_league_🏆_especial_renovaciones_y_fichajes_☎️_despedidas_❌__rayo_de_barcelona_⚡,2h26m18s,2023-08-01 17:08:05,2023-08-01 17:08:05,171962
1885925482,https://www.twitch.tv/videos/1885925482,kings_league_🏆_los_descartes_❌_y_los_que_siguen_☎️_rayo_de_barcelona_⚡,2h9m18s,2023-07-30 20:45:12,2023-07-30 20:45:12,258991
1881557213,https://www.twitch.tv/videos/1881557213,queens_league_🏆_cuartos_de_final_☎️_rayo_de_barcelona_vs_pio,1h3m22s,2023-07-25 20:16:09,2023-07-25 20:16:09,141077
1879671732,https://www.twitch.tv/videos/1879671732,kings_league_🏆_finales__y_debate_☎️_prince_cup_⚡villanas_en_cuartos_😎,3h19m8s,2023-07-23 16:24:18,2023-07-23 16:24:18,197407
1873509366,https://www.twitch.tv/videos/1873509366,rayo_de_barcelona_vs_porcinas_⚡_queens_leaguee_🏆_si_ganamos_pasamos_directas!!!!,1h1m10s,2023-07-16 16:00:22,2023-07-16 16:00:22,187765
1872721419,https://www.twitch.tv/videos/1872721419,rayo_de_barcelona_vs_porcinas_⚡_queens_leaguee_🏆_si_ganamos_pasamos_directas!!!!,1h12m0s,2023-07-15 17:52:14,2023-07-15 17:52:14,87921
1867401484,https://www.twitch.tv/videos/1867401484,rayo_de_barcelona_vs_el_barrio_⚡_kings_leaguee_🏆_vamos_villanos!!!!,1h8m24s,2023-07-09 13:44:51,2023-07-09 13:44:51,153372
1866575650,https://www.twitch.tv/videos/1866575650,rayo_de_barcelona_vs_saiyans_⚡_queens_league_🏆_a_por_la_zona_de_arriba!!!!,1h6m6s,2023-07-08 14:49:57,2023-07-08 14:49:57,66774
1863936934,https://www.twitch.tv/videos/1863936934,rayo_de_barcelona_vs_jijantes_⚡_kings_league_🏆_nos_jugamos_todo...,1h23m20s,2023-07-05 13:33:26,2023-07-05 13:33:26,149003
1863109743,https://www.twitch.tv/videos/1863109743,rayo_de_barcelona_vs_el_barrio_⚡_queens_league_🏆,1h0m40s,2023-07-04 13:50:06,2023-07-04 13:50:06,68094
1859022271,https://www.twitch.tv/videos/1859022271,anuncio_rayo_de_barcelona_nuevo_jugador_y_staff_⚡_previa_velada_del_año_🥊,1h43m26s,2023-06-29 18:26:44,2023-06-29 18:26:44,111627
1856477277,https://www.twitch.tv/videos/1856477277,rayo_de_barcelona_vs_las_troncas_⚡_queens_league_🏆_¡vamos_villanas!,1h11m50s,2023-06-26 19:02:57,2023-06-26 19:02:57,81164
1855469984,https://www.twitch.tv/videos/1855469984,rayo_de_barcelona_vs_1k_⚡_kings_league_🏆,1h4m52s,2023-06-25 14:50:25,2023-06-25 14:50:25,145014
1853753540,https://www.twitch.tv/videos/1853753540,un_jugador_deja_el_rayo_de_barcelona_❌_previa_al_fin_de_semana_☎️_rayo_de_barcelona_🏆,1h35m38s,2023-06-23 15:46:16,2023-06-23 15:46:16,79724
1852866320,https://www.twitch.tv/videos/1852866320,nos_jugamos_50.000$_🤑_🏆,3h52m36s,2023-06-22 15:18:59,2023-06-22 15:18:59,115388
1850455825,https://www.twitch.tv/videos/1850455825,chup_chup_kings_league_🏆_rayo_de_barcelona_⚡_calentitoooo_❌,3h42m58s,2023-06-19 18:58:07,2023-06-19 18:58:07,178525
1849491025,https://www.twitch.tv/videos/1849491025,rayo_de_barcelona_vs_ultimate_móstoles_⚡_kings_league_🏆_sancionados!!!_❌,1h21m30s,2023-06-18 14:45:16,2023-06-18 14:45:16,131759
