ID del VOD,URL del VOD,Nombre del VOD,Duración,Fecha de inicio,Fecha de finalización,Visitas
1890896278,https://www.twitch.tv/videos/1890896278,😍_𝐍𝐎𝐒𝐓𝐀𝐋𝐆𝐈-𝐂𝐎𝐃𝐬_😍_zombies_de_black_ops_1_¿easter_egg?_tú_eliges_🙏🏻,4h12m15s,2023-08-05 16:34:29,2023-08-05 16:34:29,336883
1890001980,https://www.twitch.tv/videos/1890001980,✨_𝐍𝐎𝐒𝐓𝐀𝐋𝐆𝐈-𝐂𝐎𝐃𝐬_✨_black_ops_1_😱_zombies_y_multi_de_uno_de_los_mejores_cods_de_la_historia_🔥,3h37m40s,2023-08-04 16:30:01,2023-08-04 16:30:01,249455
1889213315,https://www.twitch.tv/videos/1889213315,✨_𝐍𝐎𝐒𝐓𝐀𝐋𝐆𝐈-𝐂𝐎𝐃𝐬_✨_me_saco_la_nuclear_🔥_black_ops_1_si_lo_consigo_😱,5h5m41s,2023-08-03 18:16:32,2023-08-03 18:16:32,394961
1888230819,https://www.twitch.tv/videos/1888230819,✨_𝐍𝐎𝐒𝐓𝐀𝐋𝐆𝐈𝐀_✨_volvemos_a_los_cods_antiguos_😍_1vs1_con_illojuan_🔥_unboxing_xbox_series_x_y_al_vicio_🎮,5h35m53s,2023-08-02 15:45:33,2023-08-02 15:45:33,579052
1887533185,https://www.twitch.tv/videos/1887533185,❤🔥_he_vinilado_mi_tesla_de_rayo_mcqueen_🔥❤_|_mañana_probamos_los_cods_antiguos_🤤,1h40m10s,2023-08-01 19:14:42,2023-08-01 19:14:42,179403
1886532559,https://www.twitch.tv/videos/1886532559,🏁_mundial_f1_de_ampeter_(soy_muy_bueno)_🔥_after_kings_finals_⚽👑,5h25m20s,2023-07-31 16:02:15,2023-07-31 16:02:15,337638
1885650940,https://www.twitch.tv/videos/1885650940,😱_reaccionando_a_los_mejores_momentos_de_la_final_four_⚽🏆_anunciando_los_descartes_de_saiyans_🚨,5h36m19s,2023-07-30 14:47:56,2023-07-30 14:47:56,619392
1884031297,https://www.twitch.tv/videos/1884031297,𝘾𝙃𝘼𝙏_𝙎𝘼𝙄𝙔𝘼𝙉𝙎_🔥_especial_chup_chup_final_four_kings_&_queens_league_🔥,1h51m13s,2023-07-28 17:36:03,2023-07-28 17:36:03,94302
1883234568,https://www.twitch.tv/videos/1883234568,estreno_mi_mejor_vídeo_de_tesla_🚀_recuperando_mi_nivel_en_fortnite_🎮_lol_para_dar_suerte_a_heretics_🤍,4h8m24s,2023-07-27 18:50:24,2023-07-27 18:50:24,289118
1882316535,https://www.twitch.tv/videos/1882316535,"💙🔥_𝐄𝐋_𝐅𝐔𝐓𝐔𝐑𝐎_𝐃𝐄_𝐒𝐀𝐈𝐘𝐀𝐍𝐒_🔥💙_reacción_partido_de_ayer,_descartes,_mvp,_jugador_11_y_12...",5h28m27s,2023-07-26 17:54:47,2023-07-26 17:54:47,358962
1881260711,https://www.twitch.tv/videos/1881260711,"🔥_playoffs_¡el_ganador_al_metropolitano!_🔥_saiyans_vs_xbuyer_|_si_ganamos,_me_tiño_de_rubio_¡amén,_amén,_amén!_🙏🏻",6h19m53s,2023-07-25 13:32:06,2023-07-25 13:32:06,747080
